,eliminado,mae,model,paredao,pred,pred_pct,rejeicao,repeticao,mean_absolute_error,correct
1110,guilherme,0.09671019894260013,ensamble2,6.0,guilherme,0.6397790445183832,0.5607,5.0,0.07907904451838321,True
1111,victor_hugo,0.2618580775805989,ensamble2,7.0,victor_hugo,0.3195622185625197,0.8522,5.0,0.5326377814374803,True
1112,pyong,0.1033722393481838,ensamble2,8.0,pyong,0.5883291742262058,0.517,5.0,0.07132917422620577,True
1113,daniel,0.21763523032660534,ensamble2,9.0,daniel,0.6583224132428079,0.8081999999999999,5.0,0.14987758675719198,True
1114,felipe_prior,0.1743297528678165,ensamble2,10.0,felipe_prior,0.31908625330411633,0.5672999999999999,5.0,0.24821374669588359,True
1115,gabi,0.1485250827344032,ensamble2,11.0,gabi,0.3753826464134579,0.5961,5.0,0.22071735358654204,True
1116,marcela,0.1081027877371749,ensamble2,12.0,marcela,0.5280187300283145,0.4976,5.0,0.030418730028314467,True
1117,flayslene,0.09238913473592571,ensamble2,13.0,flayslene,0.5034707133240152,0.63,5.0,0.12652928667598484,True
1118,gizelly_bicalho,0.18736513089478554,ensamble2,14.0,babu,0.5469683550935038,0.5478999999999999,5.0,0.0009316449064961096,False
1119,ivy,0.250473006732982,ensamble2,15.0,ivy,0.5003675535241555,0.7417,5.0,0.2413324464758445,True
1120,mari,0.0983050943410061,ensamble2,16.0,mari,0.4232033932299308,0.5416,5.0,0.11839660677006919,True
1121,babu,0.17563340928574123,ensamble2,17.0,babu,0.44289856296251395,0.5715,5.0,0.12860143703748605,True
1122,lucas_chumbo,0.33826125761610415,linear_regression,1.0,lucas_chumbo,0.9758336624241254,0.7594,6.0,0.21643366242412543,True
1123,petrix,0.1513424610302863,linear_regression,2.0,petrix,0.45323341726282357,0.8027,6.0,0.3494665827371764,True
1124,hadson,0.13235448594489768,linear_regression,3.0,hadson,0.6472710047514785,0.7970999999999999,6.0,0.14982899524852145,True
1125,lucas,0.20484095004994152,linear_regression,4.0,lucas,0.5193006423901669,0.6262,6.0,0.10689935760983305,True
1126,bianca_andrade,0.2616015825580442,linear_regression,5.0,felipe_prior,0.583902436530313,0.5309,6.0,0.053002436530313,False
1127,guilherme,0.2057041074267111,linear_regression,6.0,guilherme,0.45235619579788094,0.5607,6.0,0.10834380420211903,True
1128,victor_hugo,0.7076779421496969,linear_regression,7.0,victor_hugo,0.03833202775469798,0.8522,6.0,0.8138679722453019,True
1129,pyong,0.1715449700463545,linear_regression,8.0,pyong,0.6977289204647916,0.517,6.0,0.1807289204647916,True
1130,daniel,0.16295441339786532,linear_regression,9.0,daniel,0.7440551347883817,0.8081999999999999,6.0,0.06414486521161822,True
1131,felipe_prior,0.6414551682006783,linear_regression,10.0,felipe_prior,1.7935693030707318,0.5672999999999999,6.0,1.226269303070732,True
1132,gabi,0.2178753403378945,linear_regression,11.0,gabi,0.5156968811050027,0.5961,6.0,0.0804031188949973,True
1133,marcela,0.08569083917788271,linear_regression,12.0,marcela,0.5415199049040962,0.4976,6.0,0.043919904904096196,True
1134,flayslene,0.10004084365557042,linear_regression,13.0,flayslene,0.48803154210727034,0.63,6.0,0.14196845789272966,True
1135,gizelly_bicalho,0.1856573955437526,linear_regression,14.0,babu,0.3909668539311952,0.5478999999999999,6.0,0.15693314606880476,False
1136,ivy,0.31840916240333045,linear_regression,15.0,rafa,0.5303063692047976,0.7417,6.0,0.21139363079520246,False
1137,mari,0.12339907641966179,linear_regression,16.0,manu_gavassi,0.502024671699333,0.5416,6.0,0.03957532830066701,False
1138,babu,0.3848187540372481,linear_regression,17.0,rafa,0.6350468841657579,0.5715,6.0,0.06354688416575793,False
1139,lucas_chumbo,0.08447226302735664,svr,1.0,lucas_chumbo,0.6214706998785416,0.7594,6.0,0.13792930012145832,True
1140,petrix,0.17898558233321438,svr,2.0,petrix,0.5166944761535316,0.8027,6.0,0.2860055238464684,True
1141,hadson,0.22358370813768091,svr,3.0,hadson,0.6720610808686748,0.7970999999999999,6.0,0.12503891913132514,True
1142,lucas,0.2557144505876802,svr,4.0,lucas,0.4914429704049575,0.6262,6.0,0.1347570295950425,True
1143,bianca_andrade,0.15778027561332578,svr,5.0,felipe_prior,0.32532301123392404,0.5309,6.0,0.205576988766076,False
1144,guilherme,0.10762392825099919,svr,6.0,guilherme,0.7230274656693059,0.5607,6.0,0.1623274656693059,True
1145,victor_hugo,0.22421785327029442,svr,7.0,victor_hugo,0.35525445173727815,0.8522,6.0,0.4969455482627218,True
1146,pyong,0.109576988653323,svr,8.0,pyong,0.6438434781844464,0.517,6.0,0.1268434781844464,True
1147,daniel,0.19176542888957562,svr,9.0,daniel,0.6991975664973614,0.8081999999999999,6.0,0.1090024335026385,True
1148,felipe_prior,0.1767950746185207,svr,10.0,manu_gavassi,0.30976420510260644,0.5672999999999999,6.0,0.2575357948973935,False
1149,gabi,0.11586599640213786,svr,11.0,gabi,0.42408737829522175,0.5961,6.0,0.1720126217047782,True
1150,marcela,0.11668501353064697,svr,12.0,marcela,0.46169686612152955,0.4976,6.0,0.03590313387847044,True
1151,flayslene,0.08110624338904374,svr,13.0,flayslene,0.5377678255772705,0.63,6.0,0.09223217442272946,True
1152,gizelly_bicalho,0.1857104277617844,svr,14.0,babu,0.5873323812512451,0.5478999999999999,6.0,0.03943238125124515,False
1153,ivy,0.1988017889691376,svr,15.0,ivy,0.5774634850766643,0.7417,6.0,0.16423651492333569,True
1154,mari,0.1150030635734808,svr,16.0,mari,0.477835147726301,0.5416,6.0,0.06376485227369899,True
1155,babu,0.18098226961743988,svr,17.0,babu,0.4619154737427667,0.5715,6.0,0.1095845262572333,True
1156,lucas_chumbo,0.08004374999999991,ensamble1,1.0,lucas_chumbo,0.7482375000000001,0.7594,6.0,0.011162499999999853,True
1157,petrix,0.209590625,ensamble1,2.0,petrix,0.715,0.8027,6.0,0.0877,True
1158,hadson,0.15174369565217388,ensamble1,3.0,hadson,0.54043,0.7970999999999999,6.0,0.25666999999999995,True
1159,lucas,0.12919911111111113,ensamble1,4.0,lucas,0.4663666666666666,0.6262,6.0,0.15983333333333338,True
1160,bianca_andrade,0.24185138888888888,ensamble1,5.0,felipe_prior,0.5479666666666666,0.5309,6.0,0.017066666666666563,False
1161,guilherme,0.053222619047619046,ensamble1,6.0,guilherme,0.5417749999999999,0.5607,6.0,0.01892500000000008,True
1162,victor_hugo,0.2345624836601307,ensamble1,7.0,victor_hugo,0.2151058823529412,0.8522,6.0,0.6370941176470588,True
1163,pyong,0.036852941176470595,ensamble1,8.0,babu,0.50496,0.517,6.0,0.01204000000000005,False
1164,daniel,0.2465995092626672,ensamble1,9.0,daniel,0.7430727272727272,0.8081999999999999,6.0,0.0651272727272727,True
1165,felipe_prior,0.08107643097643098,ensamble1,10.0,felipe_prior,0.5027499999999999,0.5672999999999999,6.0,0.06455,True
1166,gabi,0.06526607744107742,ensamble1,11.0,gabi,0.4974055555555556,0.5961,6.0,0.09869444444444436,True
